COMPARISON	SPECIES	DI_SHORT	DI_LONG	DIFFERENCE	POSITIVE_RANKS	NEGATIVE_RANKS	RANKS
1	musMus vs cavPor	34678.21843	9163.47458	25514.74385	25514.74385		7
2	musMus vs hetGla	34678.21843	4550.718268	30127.50016	30127.50016		6
3	musMus vs pteVam	34678.21843	372.2302	34305.98823	34305.98823		2
4	musMus vs rouAeg	34678.21843	210.7095286	34467.5089	34467.5089		1
5	musMus vs rhiFer	34678.21843	3766.075107	30912.14332	30912.14332		4
6	musMus vs myoMyo	34678.21843	2459.059775	32219.15865	32219.15865		3
7	musMus vs myoLuc	34678.21843	4531.658278	30146.56015	30146.56015		5
8	 ratNor vs cavPor	23941.29407	9163.47458	14777.81949	14777.81949		15
9	 ratNor  vs hetGla	23941.29407	4550.718268	19390.5758	19390.5758		13
10	 ratNor  vs pteVam	23941.29407	372.2302	23569.06387	23569.06387		9
11	ratNor vs rouAeg	23941.29407	210.7095286	23730.58454	23730.58454		8
12	ratNor vs rhiFer	23941.29407	3766.075107	20175.21896	20175.21896		11
13	ratNor vs myoMyo	23941.29407	2459.059775	21482.23429	21482.23429		10
14	ratNor vs myoLuc	23941.29407	4531.658278	19409.63579	19409.63579		14
15	cavPor vs hetGla	9163.47458	4550.718268	4612.756312	4612.756312		21
16	cavPor vs rhiFer	9163.47458	3766.075107	5397.399473	5397.399473		19
17	cavPor vs myoMyo	9163.47458	2459.059775	6704.414805	6704.414805		17
18	cavPor vs myoLuc	9163.47458	4531.658278	4631.816302	4631.816302		20
19	molMol vs hetGla	8269.0523	4550.718268	3718.334032	3718.334032		24
20	molMol vs cavPor	8269.0523	9163.47458	-894.42228		-894.42228	-25
21	molMol vs pteVam	8269.0523	372.2302	7896.8221	7896.8221		16
22	molMol vs rouAeg	8269.0523	210.7095286	8058.342771	8058.342771		15
23	molMol vs rhiFer	8269.0523	3766.075107	4502.977193	4502.977193		22
24	molMol vs myoMyo	8269.0523	2459.059775	5809.992525	5809.992525		18
25	molMol vs myoLuc	8269.0523	4531.658278	3737.394022	3737.394022		23
